column,type,non_null,nulls,null_%,distinct,min,max,avg,examples
game_id,text,6732,0,0.0,6732,,,,"2024_21_BUF_KC, 2015_13_DEN_SD, 2005_17_WAS_PHI, 2021_10_SEA_GB, 2002_14_PHI_SEA"
season,bigint,6732,0,0.0,25,2000.0,2024.0,2012.1405228758169935,"2012, 2018, 2009, 2005, 2024"
game_type,text,6732,0,0.0,5,,,,"DIV, REG, SB, WC, CON"
week,bigint,6732,0,0.0,22,1.0,22.0,9.5873440285204991,"11, 8, 19, 4, 21"
gameday,text,6732,0,0.0,1311,,,,"2018-09-20, 2013-01-13, 2013-09-26, 2023-09-28, 2024-01-13"
weekday,text,6732,0,0.0,7,,,,"Tuesday, Saturday, Wednesday, Friday, Thursday"
gametime,text,6732,0,0.0,55,,,,"12:30, 18:31, 19:00, 19:30, 18:45"
away_team,text,6732,0,0.0,35,,,,"DEN, HOU, NYJ, CHI, IND"
away_score,double precision,6732,0,0.0,55,0.0,59.0,20.98,"46.0, 49.0, 40.0, 2.0, 39.0"
home_team,text,6732,0,0.0,35,,,,"DEN, HOU, CHI, NYJ, IND"
home_score,double precision,6732,0,0.0,61,0.0,70.0,23.303,"11.0, 0.0, 62.0, 15.0, 26.0"
location,text,6732,0,0.0,2,,,,"Home, Neutral"
result,double precision,6732,0,0.0,100,-49.0,59.0,2.323,"40.0, 39.0, -25.0, -17.0, -28.0"
total,double precision,6732,0,0.0,93,3.0,106.0,44.283,"62.0, 65.0, 15.0, 26.0, 38.0"
overtime,double precision,6732,0,0.0,2,0.0,1.0,0.062,"0.0, 1.0"
old_game_id,bigint,6732,0,0.0,6732,2000090300.0,2025020900.0,2012317392.05377302,"2012112900, 2003120703, 2024010700, 2011010203, 2016010315"
gsis,double precision,6732,0,0.0,6732,987.0,59841.0,45162.055,"57366.0, 59576.0, 26560.0, 55826.0, 28930.0"
nfl_detail_id,text,272,6460,95.96,272,,,,"10160000-0586-6323-2b0e-26ce4dd928d5, 10160000-0587-66a3-2df9-03ed8161cc2e, 10160000-0587-6034-b7ea-785eca8a8fe2, 10160000-0586-2232-ad98-be22e2b9e559, 10160000-0587-6129-08e1-f057261766a8"
pfr,text,6732,0,0.0,6732,,,,"201212160sdg, 201311280det, 201110020htx, 201711260cin, 200612030gnb"
pff,double precision,4292,2440,36.24,4292,731.0,21536.0,6197.638,"1860.0, 4117.0, 2122.0, 987.0, 18673.0"
espn,bigint,6732,0,0.0,6720,200903001.0,401671937.0,326938922.62997623,"401220129, 201223007, 400951750, 281127008, 271209026"
ftn,double precision,1376,5356,79.56,1376,5058.0,6720.0,5802.975,"6683.0, 5468.0, 5789.0, 6464.0, 6704.0"
away_rest,bigint,6732,0,0.0,14,4.0,21.0,7.4833630421865716,"4, 21, 14, 17, 9"
home_rest,bigint,6732,0,0.0,12,4.0,16.0,7.5103980986333928,"14, 11, 8, 9, 10"
away_moneyline,double precision,5010,1722,25.58,826,-1800.0,2173.0,81.74,"-190.0, 154.0, 615.0, 547.0, -287.0"
home_moneyline,double precision,5010,1722,25.58,819,-5000.0,1100.0,-130.051,"-347.0, -804.0, -190.0, 154.0, -217.0"
spread_line,double precision,6732,0,0.0,78,-19.0,27.0,2.276,"-5.5, -7.5, 6.5, -17.0, 11.0"
away_spread_odds,double precision,5010,1722,25.58,63,-137.0,138.0,-56.584,"-104.0, 105.0, -117.0, 122.0, -106.0"
home_spread_odds,double precision,5010,1722,25.58,63,-146.0,126.0,-56.177,"-104.0, 105.0, -117.0, 122.0, -106.0"
total_line,double precision,6732,0,0.0,64,28.5,63.5,43.624,"28.5, 36.5, 38.0, 56.5, 61.0"
under_odds,double precision,5007,1725,25.62,39,-125.0,113.0,-71.342,"-112.0, -104.0, -100.0, -103.0, -113.0"
over_odds,double precision,5007,1725,25.62,40,-125.0,113.0,-80.158,"-112.0, -104.0, -100.0, -103.0, -113.0"
div_game,bigint,6732,0,0.0,2,0.0,1.0,0.37210338680926916221,"0, 1"
roof,text,6732,0,0.0,4,,,,"dome, outdoors, open, closed"
surface,text,6689,43,0.64,9,,,,"fieldturf, matrixturf, a_turf, sportturf, dessograss"
temp,double precision,4819,1913,28.42,105,-6.0,109.0,57.789,"40.0, 109.0, 39.0, 92.0, 68.0"
wind,double precision,4819,1913,28.42,38,0.0,71.0,8.482,"40.0, 2.0, 11.0, 12.0, 0.0"
away_qb_id,text,6732,0,0.0,312,,,,"00-0026625, 00-0019041, 00-0023541, 00-0035282, 00-0016193"
home_qb_id,text,6732,0,0.0,300,,,,"00-0026625, 00-0019041, 00-0023541, 00-0035282, 00-0016193"
away_qb_name,text,6732,0,0.0,313,,,,"Bo Nix, Drew Bledsoe, Max Hall, Anthony Wright, Joe Burrow"
home_qb_name,text,6732,0,0.0,301,,,,"Bo Nix, Drew Bledsoe, Max Hall, Anthony Wright, Joe Burrow"
away_coach,text,6732,0,0.0,165,,,,"Dick Vermeil, Leslie Frazier, Rob Chudzinski, Kevin Stefanski, Matt LaFleur"
home_coach,text,6732,0,0.0,165,,,,"Dick Vermeil, Leslie Frazier, Rob Chudzinski, Kevin Stefanski, Matt LaFleur"
referee,text,6731,1,0.01,87,,,,"Bruce Hermansen, Jeff Triplette, Ed Hochuli, Bernie Kukar, John Parry"
stadium_id,text,6732,0,0.0,60,,,,"MIN01, MEX00, ATL00, VEG00, PHI99"
stadium,text,6732,0,0.0,96,,,,"MetLife Stadium, Network Associates Coliseum, Dolphin Stadium, SoFi Stadium, Tottenham Stadium"
